Country;Disinformation Regulation;Source of Regulation
Algeria;Criminalized the spread of “false news” harmful to national unity.;Law No. 20-06 Article 196 bis of Algeria’s Criminal Code
Argentina;"No current legislation; previous COVID-19 disinformation laws repealed.";N/A
Australia;Requires platforms to prevent the spreading of false information.;Code of Practice on Disinformation and Misinformation (2021)
Austria;"Must demonetize disinformation content; remove false content within specific timelines.";"EU Code of Practice on Disinformation (2018); Communications Platform Act (2022); EU Strengthened Code of Practice on Disinformation (2022); Digital Services Act (2022)"
Bangladesh;Criminal prosecution for disseminating disinformation online.;Digital Security Act (2018)
Belarus;"Criminalized livestreaming of ‘unsanctioned’ protests; can block internet resources without court order.";"Law on Mass Gatherings (2021); Mass Media Law (2021)"
Brazil;Platforms can be ordered to remove electoral disinformation during elections.;"Marco Civil Law of the Internet (2014); Resolution No. 23714 (October 2022)"
Bulgaria;"VLOPs must demonetize disinformation content; non-VLOPs to put in place risk-mitigation strategies.";"EU Code of Practice on Disinformation (2018); EU Strengthened Code of Practice on Disinformation (2022); Digital Services Act (2022)"
Cambodia;"Internet regulation stipulates penalties for disinformation; government can block information and issue criminal punishment.";"Ministerial Directive (2018); National Internet Gateway (2021)"
Canada;Prohibits false statements about electoral candidates to affect election results.;Canada Elections Act (2018)
Chile;No legislation on online disinformation as of November 2022.;The Press Law on Freedom of Opinion and Information and the Exercise of Journalism (2001)
China;Requires companies to operate content management mechanisms against disinformation.;Cyber Security Law (2017)
Colombia;"Has enshrined internet neutrality; platform operators could face legal liability for insufficient moderation mechanisms.";"Law 1450; Article 56(2) (2011)"
Croatia;Similar to Austria, with EU laws requiring actions against disinformation.;"EU Code of Practice on Disinformation (2018); Communications Platform Act (2022); EU Strengthened Code of Practice on Disinformation (2022); Digital Services Act (2022)"
Cyprus;Similar to Austria, with EU laws requiring actions against disinformation.;"EU Code of Practice on Disinformation (2018); Communications Platform Act (2022); EU Strengthened Code of Practice on Disinformation (2022); Digital Services Act (2022)"
Czechia;Similar to Austria, with EU laws requiring actions against disinformation.;"EU Code of Practice on Disinformation (2018); Communications Platform Act (2022); EU Strengthened Code of Practice on Disinformation (2022); Digital Services Act (2022)"
Egypt;Can block social media accounts and penalize journalists for fake news.;Media Regulation Law and the Supreme Council for Media Regulation promulgated by Law No. 180 (2018)
Estonia;Similar to Austria, with EU laws requiring actions against disinformation.;"EU Code of Practice on Disinformation (2018); Communications Platform Act (2022); EU Strengthened Code of Practice on Disinformation (2022); Digital Services Act (2022)"
Eswatini;Criminalized publishing false information with intent to injure or defraud.;N/A
Ethiopia;"Holds internet intermediaries liable for hosted content; must remove disinformation within 24 hours of notification.";Hate Speech and Disinformation Prevention and Suppression Proclamation (2020)
